[ui][fire_pending] callback returned | widget=11, kind=Click
[ui][fire_pending] invoking callback | widget=4, kind=Click, fn_ptr=0x19f5c63024d
[ui][fire_pending] callback returned | widget=4, kind=Click
[ui][nex_ui_on_click] register callback | widget=4, callback=0x2782569161a
[ui][nex_ui_on_click] register callback | widget=5, callback=0x27825691648
[ui][nex_ui_on_click] register callback | widget=6, callback=0x27825691676
[ui][nex_ui_on_click] register callback | widget=7, callback=0x278256916a4
[ui][nex_ui_on_click] register callback | widget=12, callback=0x278256917f5
[ui][nex_ui_on_click] register callback | widget=13, callback=0x2782569183b
[ui][nex_ui_on_click] register callback | widget=20, callback=0x278256919e1
[ui][nex_ui_on_click] register callback | widget=21, callback=0x27825691a75
[ui][nex_ui_on_click] register callback | widget=22, callback=0x27825691b07
[ui][nex_ui_on_change] register callback | widget=26, callback=0x278256913a1
[ui][nex_ui_on_click] register callback | widget=27, callback=0x27825691b8b
[ui][nex_ui_on_click] register callback | widget=40, callback=0x27825691881
[ui][nex_ui_on_click] register callback | widget=42, callback=0x278256918ca
[ui][nex_ui_on_click] register callback | widget=43, callback=0x27825691913
[ui][fire_pending] invoking callback | widget=5, kind=Click, fn_ptr=0x27825691648
[ui][fire_pending] callback returned | widget=5, kind=Click
[ui][fire_pending] invoking callback | widget=6, kind=Click, fn_ptr=0x27825691676
[ui][fire_pending] callback returned | widget=6, kind=Click
[ui][fire_pending] invoking callback | widget=7, kind=Click, fn_ptr=0x278256916a4
[ui][fire_pending] callback returned | widget=7, kind=Click
[ui][fire_pending] invoking callback | widget=4, kind=Click, fn_ptr=0x2782569161a
[ui][fire_pending] callback returned | widget=4, kind=Click
[ui][fire_pending] invoking callback | widget=40, kind=Click, fn_ptr=0x27825691881
[ui][fire_pending] callback returned | widget=40, kind=Click
[ui][fire_pending] invoking callback | widget=12, kind=Click, fn_ptr=0x278256917f5
[ui][fire_pending] callback returned | widget=12, kind=Click
[ui][fire_pending] invoking callback | widget=40, kind=Click, fn_ptr=0x27825691881
[ui][fire_pending] callback returned | widget=40, kind=Click
[ui][fire_pending] invoking callback | widget=13, kind=Click, fn_ptr=0x2782569183b
[ui][fire_pending] callback returned | widget=13, kind=Click
[ui][fire_pending] invoking callback | widget=43, kind=Click, fn_ptr=0x27825691913
[ui][fire_pending] callback returned | widget=43, kind=Click
[ui][fire_pending] invoking callback | widget=13, kind=Click, fn_ptr=0x2782569183b
[ui][fire_pending] callback returned | widget=13, kind=Click
[ui][fire_pending] invoking callback | widget=42, kind=Click, fn_ptr=0x278256918ca
[ui][fire_pending] callback returned | widget=42, kind=Click
[ui][fire_pending] invoking callback | widget=12, kind=Click, fn_ptr=0x278256917f5
[ui][fire_pending] callback returned | widget=12, kind=Click
[ui][fire_pending] invoking callback | widget=40, kind=Click, fn_ptr=0x27825691881
[ui][fire_pending] callback returned | widget=40, kind=Click
[ui][nex_ui_on_click] register callback | widget=3, callback=0x2555d9e014f
[ui][nex_ui_on_click] register callback | widget=4, callback=0x2555d9e0181
[ui][nex_ui_on_click] register callback | widget=5, callback=0x2555d9e01b3
[ui][nex_ui_on_click] register callback | widget=6, callback=0x2555d9e01e5
[ui][nex_ui_on_change] register callback | widget=10, callback=0x2555d9c0bb3
[ui][nex_ui_on_click] register callback | widget=11, callback=0x2555d9c0c45
[ui][nex_ui_on_change] register callback | widget=15, callback=0x2555d9c0bb3
[ui][nex_ui_on_click] register callback | widget=16, callback=0x2555d9c0c45
[ui][nex_ui_on_change] register callback | widget=20, callback=0x2555d9c0bb3
[ui][nex_ui_on_click] register callback | widget=21, callback=0x2555d9c0c45
[ui][nex_ui_on_change] register callback | widget=25, callback=0x2555d9c0bb3
[ui][nex_ui_on_click] register callback | widget=26, callback=0x2555d9c0c45
[ui][nex_ui_on_click] register callback | widget=3, callback=0x1e443af014f
[ui][nex_ui_on_click] register callback | widget=4, callback=0x1e443af0181
[ui][nex_ui_on_click] register callback | widget=5, callback=0x1e443af01b3
[ui][nex_ui_on_click] register callback | widget=6, callback=0x1e443af01e5
[ui][nex_ui_on_click] register callback | widget=12, callback=0x1e443ad07c8
[ui][nex_ui_on_click] register callback | widget=13, callback=0x1e443ad085c
[ui][nex_ui_on_click] register callback | widget=14, callback=0x1e443ad08ee
[ui][nex_ui_on_click] register callback | widget=19, callback=0x1e443ad07c8
[ui][nex_ui_on_click] register callback | widget=20, callback=0x1e443ad085c
[ui][nex_ui_on_click] register callback | widget=21, callback=0x1e443ad08ee
[ui][nex_ui_on_click] register callback | widget=26, callback=0x1e443ad07c8
[ui][nex_ui_on_click] register callback | widget=27, callback=0x1e443ad085c
[ui][nex_ui_on_click] register callback | widget=28, callback=0x1e443ad08ee
[ui][nex_ui_on_click] register callback | widget=33, callback=0x1e443ad07c8
[ui][nex_ui_on_click] register callback | widget=34, callback=0x1e443ad085c
[ui][nex_ui_on_click] register callback | widget=35, callback=0x1e443ad08ee
[ui][nex_ui_on_click] register callback | widget=3, callback=0x2441327014f
[ui][nex_ui_on_click] register callback | widget=4, callback=0x24413270181
[ui][nex_ui_on_click] register callback | widget=5, callback=0x244132701b3
[ui][nex_ui_on_click] register callback | widget=6, callback=0x244132701e5
[ui][nex_ui_on_click] register callback | widget=14, callback=0x244132609c2
[ui][nex_ui_on_click] register callback | widget=15, callback=0x24413260a08
[ui][nex_ui_on_click] register callback | widget=22, callback=0x24413260a4e
[ui][nex_ui_on_click] register callback | widget=24, callback=0x24413260a97
